"","g"
"671",0.0298874499958857
"672",0.0298373453041075
"673",0.0296206011365694
"674",0.0294010443519474
"675",0.0293334952588571
"676",0.0289203567493255
"677",0.028751726177397
"678",0.0288699567189028
"679",0.0294467148791906
"680",0.0299395316646064
"681",0.0324915655790432
"682",0.0319179338934836
"683",0.0314487373323075
"684",0.0312724631061808
"685",0.0314229286857005
"686",0.0313928013487293
"687",0.0314659420368206
"688",0.0315323714141378
"689",0.0316460611662558
"690",0.0318258419383869
"691",0.0405675854178882
"692",0.0406219555159525
"693",0.0406874098041412
"694",0.0406395544878209
"695",0.0406083086748795
"696",0.0405849385668017
"697",0.04056979263399
"698",0.0405134936245267
"699",0.0405333773825332
"700",0.0405899886712213
"701",0.0426485295737665
"702",0.0433700092811321
"703",0.0435560716530531
"704",0.0434700645121119
"705",0.0431542745116283
"706",0.0435711452351674
"707",0.0435931111226307
"708",0.0433180155677381
"709",0.0429617146440462
"710",0.0433013648152532
"711",0.364590153476283
"712",0.353226110618124
"713",0.344372139196529
"714",0.34668118255696
"715",0.34926183693509
"716",0.359197889287602
"717",0.37536886997602
"718",0.376359489053457
"719",0.353688903364642
"720",0.330470584509243
"721",0.949613777849359
"722",0.946262392556469
"723",0.952109744725869
"724",0.943522143578683
"725",0.957119100389917
"726",0.963709935780421
"727",0.965697688977154
"728",0.964844236254123
"729",0.959369276954894
"730",0.951999068041469
"731",NA
"732",NA
"733",NA
"734",NA
"735",NA
"736",NA
"737",NA
"738",NA
"739",NA
"740",NA
"741",0.640070328217263
"742",0.607129438079112
"743",0.558724248839357
"744",0.53184984669013
"745",0.534168932386965
"746",0.570655070683264
"747",0.56437931911043
"748",0.600744317648647
"749",0.537071869555373
"750",0.519287718948429
"751",NA
"752",NA
"753",NA
"754",NA
"755",NA
"756",NA
"757",NA
"758",NA
"759",NA
"760",NA
"761",NA
"762",NA
"763",NA
"764",NA
"765",NA
"766",NA
"767",NA
"768",NA
"769",NA
"770",NA
"771",0.918816194948759
"772",0.911043230872229
"773",0.911381276174579
"774",0.914594196848948
"775",0.914927591293743
"776",0.916840514507025
"777",0.915478042367519
"778",0.915099798244732
"779",0.914503898345361
"780",0.91610764731833
"781",0.909610844669659
"782",0.89239939206588
"783",0.895194017676238
"784",0.895912921244616
"785",0.892495711498962
"786",0.896489230872621
"787",0.896346563331089
"788",0.896847132724726
"789",0.893011781761188
"790",0.883007512430082
"791",NA
"792",NA
"793",NA
"794",NA
"795",NA
"796",NA
"797",NA
"798",NA
"799",NA
"800",NA
