Unnamed: 0,var_sill,var_range,var_kappa
1,1.60706327576728e-08,0.488892971041659,0.3
2,1.61412449857433e-08,0.276583636020717,0.4
3,3.14428565885022e-08,0.209268477352294,0.4
4,5.07281600578423e-08,0.126627175566218,0.0
5,5.89339705318783e-08,0.123987154737411,0.0
6,1.63357963228446e-07,0.198044004324829,0.4
7,1.02963066277508e-07,0.167299669821134,0.5
8,9.16209181830246e-08,0.177030713441404,0.4
9,4.84390683877097e-08,0.178223889919924,0.4
10,1.43822074194745e-08,0.165933520252292,0.4
11,0.0415814682547155,0.0836419881336881,2.0
12,0.0372534524822475,0.0879161006818027,1.5
13,0.0353994001177243,0.0841420521178445,1.5
14,0.0260952388378122,0.0702117067972835,1.3
15,0.0266693875250648,0.0745076722769529,1.0
16,0.0335999224216826,0.0990322181105587,1.0
17,0.0444618150213512,0.125123144120409,0.9
18,0.046108282479391,0.123944508430881,1.1
19,0.0351466435146619,0.0952150406117632,1.0
20,0.0289818147121212,0.0789422841929083,1.1
21,59754961.6081791,0.118669228630967,0.7
22,59754961.6081791,0.118669228630967,0.7
23,59754961.6081791,0.118669228630967,0.7
24,59754961.6081791,0.118669228630967,0.7
25,59754961.6081791,0.118669228630967,0.7
26,59754961.6081791,0.118669228630967,0.7
27,59754961.6081791,0.118669228630967,0.7
28,59754961.6081791,0.118669228630967,0.7
29,59754961.6081791,0.118669228630967,0.7
30,59754961.6081791,0.118669228630967,0.7
31,3.76022188438873e-18,0.151256111695724,0.4
32,2.62539141471271e-18,0.133178683864987,0.3
33,3.01821266517476e-18,0.0935094927491618,0.4
34,9.5905983456562e-19,0.0662785938543868,0.5
35,1.1290168506738698e-18,0.0438174765801993,0.0
36,1.83441630604146e-18,0.108574937355457,0.4
37,2.88765909132713e-18,0.128226061177026,0.5
38,5.05983455800329e-18,0.0882978682567556,0.5
39,5.3698375004395695e-18,0.0650295463103309,0.4
40,3.14310726065941e-18,0.037560680974345,0.4
41,1.13363401902495e-15,0.247985503495825,0.4
42,1.07101738157583e-15,0.261514806903251,0.4
43,1.01646412705093e-15,0.276944353236414,0.4
44,9.94170136354526e-16,0.275142685499209,0.4
45,9.78519153065204e-16,0.212125658834989,0.4
46,1.08439842559385e-15,0.215932326086663,0.4
47,1.13612982263335e-15,0.230355355225349,0.4
48,1.18944003941802e-15,0.235529683545106,0.4
49,1.0521571179092702e-15,0.22122531424738,0.4
50,1.0983450494643602e-15,0.250950022111979,0.4
51,6.80832702753192e-17,0.0574745770243905,0.9
52,4.8982319206830304e-17,0.105874480556174,0.0
53,5.46706515020298e-17,0.0632901831735097,0.7
54,6.47790722653697e-17,0.109296379333745,0.0
55,5.35232573840144e-17,0.0681345322498788,0.6
56,5.02886051795538e-17,0.136242206092311,0.0
57,4.74103402117227e-17,0.141638405724025,0.0
58,4.8207938905406504e-17,0.142398807064922,0.0
59,5.785556010844061e-17,0.0853685135639811,0.7
60,6.743450133340121e-17,0.0814490942407674,0.7
61,7.72139165739846e-17,0.0569656178613401,0.4
62,7.67515457394841e-17,0.0576946025954716,0.4
63,7.13698847131298e-17,0.0570035562510013,0.4
64,6.34508602145545e-17,0.057230226780029,0.4
65,5.93942451744463e-17,0.0571969324694585,0.4
66,6.29309407868435e-17,0.0557469473139946,0.4
67,5.8984459213049e-17,0.0557083324170141,0.5
68,5.90351176904885e-17,0.0559060610147845,0.5
69,6.31672175111572e-17,0.0572983479078467,0.4
70,5.97188372409871e-17,0.0404516209215341,0.0
71,2.01748185626911e-16,0.103253420555678,0.2
72,2.03460954881092e-16,0.124574468576863,0.2
73,1.98258010593264e-16,0.0502714234470969,0.0
74,3.09822717712051e-16,0.0751321679879271,0.3
75,4.10367126861597e-16,0.0746247683942934,0.4
76,3.38764028751651e-16,0.0779004911885236,0.5
77,2.29800333051138e-16,0.0652982017418719,0.4
78,1.892657904447e-16,0.0424183884420951,0.0
79,1.8765901678987e-16,0.0732924221452338,0.3
80,2.43826807533773e-16,0.0763350183045771,0.3
81,7.05862550592957e-18,0.0564075678991327,0.8
82,6.6751955455468e-18,0.055942354237158,0.8
83,5.035490924308609e-18,0.0643794805611471,0.7
84,3.31254113141492e-18,0.0732249731247845,0.6
85,3.4107915288184596e-18,0.0857092775226423,0.6
86,4.43977787749977e-18,0.0922996095115039,0.7
87,4.47693111092993e-18,0.0927509726886802,0.6
88,5.14710591958047e-18,0.0893443709733279,0.6
89,5.37944711667417e-18,0.0891564677515742,0.6
90,5.2420740878399595e-18,0.0730002811593762,0.6
