Unnamed: 0,mra_D1_min,mra_D1_max,mra_D1_mean,mra_D1_sd,mra_D1_range,mra_D1_zero,mra_D2_min,mra_D2_max,mra_D2_mean,mra_D2_sd,mra_D2_range,mra_D2_zero,mra_D3_min,mra_D3_max,mra_D3_mean,mra_D3_sd,mra_D3_range,mra_D3_zero
0,-0.0006886018796309,0.001234991721533,9.8066480282667e-24,1.40860434055114e-05,0.001923593601164,0,-0.0010834344459368,0.0011452131424951,2.00889014138441e-23,2.09832758718357e-05,0.0022286475884319,0,-0.0008181798706854,0.0012127844550783,-6.39512513997364e-24,2.9819915850425e-05,0.0020309643257637,0
1,-0.0008351786010861,0.0015688792784284,7.15467203239078e-24,1.70493368814034e-05,0.0024040578795145,0,-0.0013237785231995,0.0018311790199984,-7.33892610602509e-24,2.42507947785021e-05,0.0031549575431979,0,-0.0008997142953732,0.0014392845450312,1.81726298879499e-23,3.20712823962192e-05,0.0023389988404045,0
2,-0.0010446787499237,0.0019918689515492,-7.873055987471061e-24,2.21063007857789e-05,0.003036547701473,0,-0.0014389754476707,0.0022226220434043,4.5390532350431804e-24,3.39685055411212e-05,0.0036615974910751,0,-0.0008217780560455,0.0013767561239066,-3.97164749689456e-24,3.85943365520451e-05,0.0021985341799521,0
3,-0.0010651555991555,0.0013553286416085,2.71094726362864e-23,2.86785042116236e-05,0.002420484240764,0,-0.0012844384814789,0.0016247434977903,1.15137211362748e-23,3.67594657731103e-05,0.0029091819792693,0,-0.0008800662913343,0.0010585456872401,-1.89682644788104e-23,4.18354629717745e-05,0.0019386119785744,0
4,-0.0014747411113375,0.0027903758401195,2.5612749894909702e-24,2.91485770465488e-05,0.004265116951457,0,-0.0023427591325339,0.0031625193789859,5.84622849089589e-23,4.19171270237146e-05,0.0055052785115198,0,-0.0016104758134008,0.0027910904185277,-1.01686540771753e-22,5.53924754639191e-05,0.0044015662319285,0
5,-0.0028025145270997,0.0052549196490809,-2.1853450196979905e-23,4.71501488592203e-05,0.0080574341761806,0,-0.0050520047377737,0.0061711065096266,3.04215905958318e-23,7.29751974233006e-05,0.0112231112474003,0,-0.0034206534469798,0.0055756422585732,-2.4972129861105297e-22,0.0001132735715375,0.008996295705553,0
6,-0.0014826519284712,0.0026662807191197,1.81362184059306e-24,3.56838415039535e-05,0.004148932647591,0,-0.0027272965954078,0.0039381258220924,4.45631725678456e-23,5.21937412358218e-05,0.0066654224175003,0,-0.0024859837218404,0.0040475944681821,-2.12450211575441e-22,8.11869913099496e-05,0.0065335781900225,0
7,-0.0014055674719303,0.0025623132154394,-1.74287698160209e-23,3.29747521295131e-05,0.0039678806873697,0,-0.0029634064264584,0.0034105042776202,3.15286997916319e-23,4.74414328522644e-05,0.0063739107040787,0,-0.0022399462618936,0.003738473855229,-1.36320912939258e-22,7.9990814578344e-05,0.0059784201171227,0
8,-0.0012589494278364,0.0024146885117764,-6.23408374403578e-25,2.39000275857978e-05,0.0036736379396128,0,-0.0023506445362973,0.0028321558669007,-2.79659538820511e-23,3.60160640174524e-05,0.0051828004031981,0,-0.0018713204586949,0.0029271785071446,-5.6544189339436704e-24,6.01283521549857e-05,0.0047984989658396,0
9,-0.0009187546339581,0.0012430841882,-1.14957813071286e-24,1.45344286333312e-05,0.0021618388221581,0,-0.0013242746312216,0.001585466993129,5.03547952961084e-24,2.21927019431849e-05,0.0029097416243506,0,-0.0004307067825627,0.0004291796967893,2.56407164748533e-24,1.89356151103693e-05,0.0008598864793521,0
