"","g","zeros"
"1",0.946749252850084,0
"2",0.936980441764185,0
"3",0.937575107702365,0
"4",0.921481623746268,0
"5",0.935328400467996,0
"6",0.941051103610351,0
"7",0.943034523528733,0
"8",0.945232346495032,0
"9",0.941329160813764,0
"10",0.934098142775848,0
"11",0.294694763162151,14
"12",0.270685686279751,8
"13",0.263430861402924,9
"14",0.225023336364118,0
"15",0.223445038504088,0
"16",0.246142622029303,19
"17",0.27574899070239,37
"18",0.296025460250444,434
"19",0.255345481895901,6
"20",0.236939486737327,0
"21",0.676465373640424,24830
"22",0.676465373640424,24830
"23",0.676465373640424,24830
"24",0.676465373640424,24830
"25",0.676465373640424,24830
"26",0.676465373640424,24830
"27",0.676465373640424,24830
"28",0.676465373640424,24830
"29",0.676465373640424,24830
"30",0.676465373640424,24830
"31",0.913260599613016,0
"32",0.904239064562659,0
"33",0.909193270848332,0
"34",0.880436424635342,0
"35",0.879832443497997,0
"36",0.869406222950198,0
"37",0.868642572310308,0
"38",0.861961889023241,0
"39",0.870222493906319,0
"40",0.880574178161174,0
"41",0.76914414568198,16808
"42",0.752634987777855,17141
"43",0.740743797890048,14884
"44",0.72202622867507,15165
"45",0.721822928477277,14842
"46",0.717273505077907,14755
"47",0.721260756630345,14209
"48",0.738280803071235,13678
"49",0.745206677964392,12605
"50",0.757517826959278,13520
"51",0.676465373640424,1226
"52",0.676465373640424,1155
"53",0.676465373640424,786
"54",0.676465373640424,456
"55",0.676465373640424,362
"56",0.676465373640424,652
"57",0.676465373640424,1248
"58",0.676465373640424,1966
"59",0.676465373640424,1168
"60",0.676465373640424,773
"61",0.946022837832582,21925
"62",0.944788106824921,20547
"63",0.944235960573521,20661
"64",0.94384784793201,20491
"65",0.943439670553328,20701
"66",0.943789743101284,20545
"67",0.944120215995665,20244
"68",0.943696656486621,20126
"69",0.943684792858386,19999
"70",0.94317678148371,20016
"71",0.676465373640424,42477
"72",0.676465373640424,42554
"73",0.676465373640424,42528
"74",0.676465373640424,42530
"75",0.676465373640424,42306
"76",0.676465373640424,41773
"77",0.676465373640424,41741
"78",0.676465373640424,41742
"79",0.676465373640424,41756
"80",0.676465373640424,41904
"81",0.676465373640424,17198
"82",0.676465373640424,17198
"83",0.676465373640424,17198
"84",0.676465373640424,17198
"85",0.676465373640424,17198
"86",0.676465373640424,17198
"87",0.676465373640424,17198
"88",0.676465373640424,17198
"89",0.676465373640424,17198
"90",0.676465373640424,17198
"91",0.486887821424069,0
"92",0.46219651234032,0
"93",0.482673905540282,0
"94",0.548451200583257,0
"95",0.593653902909679,0
"96",0.603260108620264,0
"97",0.631883936209812,0
"98",0.622798785626244,0
"99",0.611808578601194,0
"100",0.573198238081189,0
"101",0.877308273807782,0
"102",0.865540017335382,0
"103",0.857423732202834,0
"104",0.846325459186583,0
"105",0.842596151566636,0
"106",0.838302359422557,0
"107",0.845923329388112,0
"108",0.858523608946146,0
"109",0.86782347654513,0
"110",0.871512378565257,0
"111",0.676465373640424,5493
"112",0.676465373640424,2605
"113",0.676465373640424,0
"114",0.676465373640424,1494
"115",0.676465373640424,4674
"116",0.676465373640424,6938
"117",0.676465373640424,5781
"118",0.676465373640424,2971
"119",0.676465373640424,16
"120",0.676465373640424,1145
"121",0.676465373640424,0
"122",0.676465373640424,0
"123",0.676465373640424,0
"124",0.676465373640424,0
"125",0.676465373640424,0
"126",0.676465373640424,0
"127",0.676465373640424,0
"128",0.676465373640424,0
"129",0.676465373640424,0
"130",0.676465373640424,0
"131",0.676465373640424,0
"132",0.676465373640424,0
"133",0.676465373640424,0
"134",0.676465373640424,0
"135",0.676465373640424,0
"136",0.676465373640424,0
"137",0.676465373640424,0
"138",0.676465373640424,0
"139",0.676465373640424,0
"140",0.676465373640424,0
"141",0.584625625094588,213
"142",0.580826541285626,136
"143",0.563635867295819,0
"144",0.553946727890415,0
"145",0.539139021359926,1
"146",0.49976893673671,70
"147",0.488417530207731,27
"148",0.517733733327908,146
"149",0.506880912111118,21
"150",0.542602102951175,0
"151",0.228370579433228,97
"152",0.241918094490791,530
"153",0.237517367918682,128
"154",0.251131890350219,474
"155",0.243144389734593,254
"156",0.246726714400359,263
"157",0.240548118369333,231
"158",0.234759063285022,258
"159",0.220887084503624,95
"160",0.230181138747862,149
"161",0.317700275819033,3640
"162",0.316572721499322,3619
"163",0.299869299339204,2948
"164",0.307343658733575,3018
"165",0.325791927983638,2257
"166",0.339149921180374,3303
"167",0.350078864041376,3090
"168",0.344282231733563,3307
"169",0.311242119065303,3293
"170",0.31606584738358,3162
"171",0.044025835139319,0
"172",0.0458898051622666,0
"173",0.0472170286014485,0
"174",0.0464627897039944,0
"175",0.0420727573132901,0
"176",0.0416968925969913,0
"177",0.0412256483784979,0
"178",0.0428565924488926,0
"179",0.0433452055046831,0
"180",0.0436203474822396,0
"181",0.922625822242056,0
"182",0.915498208417762,0
"183",0.920203763550728,0
"184",0.920003320456606,0
"185",0.916591760098156,0
"186",0.910849535327451,0
"187",0.91372848808935,0
"188",0.915866023206418,0
"189",0.915555279467585,0
"190",0.916290916122504,0
"191",0.963890187984752,0
"192",0.963995735825904,0
"193",0.963954521003669,0
"194",0.963454705891856,0
"195",0.965018004283668,0
"196",0.965555139192886,0
"197",0.963763673520322,0
"198",0.967751298920343,0
"199",0.972971151226803,0
"200",0.965283196618203,0
"201",0.676465373640424,0
"202",0.676465373640424,0
"203",0.676465373640424,0
"204",0.676465373640424,0
"205",0.676465373640424,0
"206",0.676465373640424,0
"207",0.676465373640424,0
"208",0.676465373640424,0
"209",0.676465373640424,0
"210",0.676465373640424,0
"211",0.931688581141066,0
"212",0.922675259767716,0
"213",0.926492126856644,0
"214",0.927719468343886,0
"215",0.927481182026109,0
"216",0.925007849827005,0
"217",0.923971548796721,0
"218",0.923948755869925,0
"219",0.923495989282918,0
"220",0.924207141905774,0
"221",0.676465373640424,2107
"222",0.676465373640424,699
"223",0.676465373640424,501
"224",0.676465373640424,398
"225",0.676465373640424,572
"226",0.676465373640424,767
"227",0.676465373640424,879
"228",0.676465373640424,901
"229",0.676465373640424,535
"230",0.676465373640424,401
"231",0.998737748870825,55107
"232",0.99493005638469,53596
"233",0.994973726762029,53629
"234",0.996199000982194,53703
"235",0.996472330241501,53685
"236",0.996554105261601,53824
"237",0.995987291892975,53721
"238",0.995174157143858,53786
"239",0.994536886322747,53637
"240",0.993894316375665,53607
"241",0.676465373640424,28593
"242",0.676465373640424,20146
"243",0.676465373640424,19937
"244",0.676465373640424,19494
"245",0.676465373640424,19246
"246",0.676465373640424,19486
"247",0.676465373640424,20070
"248",0.676465373640424,19962
"249",0.676465373640424,19981
"250",0.676465373640424,20088
"251",0.689949325936874,0
"252",0.653315347552972,0
"253",0.644539550773747,0
"254",0.648867881222311,0
"255",0.648730527835432,0
"256",0.639403644155243,0
"257",0.646604954097948,0
"258",0.654714835520732,0
"259",0.66683981737281,0
"260",0.662084277773128,0
"261",0.584577218292678,0
"262",0.554041875219602,0
"263",0.558216866220144,0
"264",0.555304327267484,0
"265",0.554173781109899,0
"266",0.556097982973309,0
"267",0.558969375060515,0
"268",0.555435991458439,0
"269",0.566258990419008,0
"270",0.564640700465827,0
"271",0.676465373640424,0
"272",0.676465373640424,0
"273",0.676465373640424,0
"274",0.676465373640424,0
"275",0.676465373640424,0
"276",0.676465373640424,0
"277",0.676465373640424,0
"278",0.676465373640424,0
"279",0.676465373640424,0
"280",0.676465373640424,0
"281",0.676465373640424,0
"282",0.676465373640424,0
"283",0.676465373640424,0
"284",0.676465373640424,0
"285",0.676465373640424,0
"286",0.676465373640424,0
"287",0.676465373640424,0
"288",0.676465373640424,0
"289",0.676465373640424,0
"290",0.676465373640424,0
"291",0.676465373640424,0
"292",0.676465373640424,0
"293",0.676465373640424,0
"294",0.676465373640424,0
"295",0.676465373640424,0
"296",0.676465373640424,0
"297",0.676465373640424,0
"298",0.676465373640424,0
"299",0.676465373640424,0
"300",0.676465373640424,0
"301",0.676465373640424,0
"302",0.676465373640424,0
"303",0.676465373640424,0
"304",0.676465373640424,0
"305",0.676465373640424,0
"306",0.676465373640424,0
"307",0.676465373640424,0
"308",0.676465373640424,0
"309",0.676465373640424,0
"310",0.676465373640424,0
"311",0.579134591438187,11521
"312",0.585200859450788,11695
"313",0.582772924959022,11302
"314",0.573265059172335,11213
"315",0.564699263818383,10944
"316",0.565531572296574,10728
"317",0.568570641554323,10605
"318",0.575392547684874,10931
"319",0.578667876615757,11521
"320",0.591568406527779,12449
"321",0.822073613098299,11213
"322",0.828303000050973,11200
"323",0.826983377695632,10961
"324",0.826185428104871,11192
"325",0.822626834823782,11084
"326",0.822052464062859,10793
"327",0.823782125471188,10685
"328",0.822954766773491,10891
"329",0.823281205616107,11103
"330",0.830423820547076,11277
"331",0.676465373640424,0
"332",0.676465373640424,0
"333",0.676465373640424,0
"334",0.676465373640424,0
"335",0.676465373640424,0
"336",0.676465373640424,0
"337",0.676465373640424,0
"338",0.676465373640424,0
"339",0.676465373640424,0
"340",0.676465373640424,0
"341",0.746807990608074,5429
"342",0.741047138346249,5467
"343",0.744089161439587,5423
"344",0.751961771049537,5784
"345",0.750694696087632,6137
"346",0.749200356667841,6347
"347",0.751502555918509,6477
"348",0.757668479089866,6598
"349",0.753888608760978,6654
"350",0.748531960522722,6716
"351",0.709362865106178,19229
"352",0.710934688921975,19228
"353",0.710437787310368,19227
"354",0.717288385935374,19227
"355",0.706504243142884,19225
"356",0.712100636806831,19224
"357",0.70960882693037,19222
"358",0.714975346355479,19220
"359",0.70758743494409,19219
"360",0.708111376604218,19219
"361",0.199937673693247,0
"362",0.198815883215307,0
"363",0.196724602732108,0
"364",0.191581000984475,0
"365",0.17317022075191,0
"366",0.164772775118302,0
"367",0.159845141191198,0
"368",0.169411852618059,0
"369",0.175153000281209,0
"370",0.183601973892495,0
"371",0.139248113901647,0
"372",0.145319259183193,0
"373",0.156553686008317,0
"374",0.151593626830699,0
"375",0.141998993745302,0
"376",0.149978113165284,0
"377",0.14990046409541,0
