image_id,classification,min,max,mean,sd,range,sum,zeroes,duplicates,mra_D1_min,mra_D1_max,mra_D1_mean,mra_D1_sd,mra_D1_range,mra_D1_zero,mra_D2_min,mra_D2_max,mra_D2_mean,mra_D2_sd,mra_D2_range,mra_D2_zero,mra_D3_min,mra_D3_max,mra_D3_mean,mra_D3_sd,mra_D3_range,mra_D3_zero,tri_min,tri_max,tri_mean,tri_sd,tri_range,var_sill,var_range,var_kappa,g,zeros,num_peaks,gradient_max,gradient_min,gradient_mean,gradient_stdev
723,high,1.8757686494965103e-15,2.63289479107698e-07,9.29939791862964e-10,5.41062677212205e-09,2.63289477231929e-07,5.14219507308544e-05,0,0,-6.06168522943499e-08,1.12162920972584e-07,-3.5364761969458597e-28,1.19185435445493e-09,1.72779773266934e-07,0,-5.58955788276295e-08,8.65470075804812e-08,-1.11396459787087e-28,1.49225775270106e-09,1.42442586408111e-07,0,-4.38526469693063e-08,7.0632750475116e-08,-4.49889121516278e-27,1.7394053265116e-09,1.14485397444422e-07,0,5.63470537516631e-16,4.73125233036946e-07,1.0343214796410501e-09,8.032202386696481e-09,4.73125232473476e-07,4.6414494551479e-17,0.196574320347437,0.3,0.952109744725869,0,8296,179.4220046401024,0.0,0.3105677460887827,4.144388614475831
932,med,7851.58056640625,37689.41015625,18042.1582683546,6448.38592609386,29837.8295898438,997659183.606934,0,0,-8826.85464151525,8530.41023836518,-2.76475067601955e-16,300.009670974958,17357.2648798804,0,-7544.2539961431,8309.35676967391,9.17906037032018e-17,358.671792943905,15853.610765817,0,-7810.39517643832,8569.73143501623,-5.77548473937626e-16,540.94276342428,16380.1266114545,0,17.6797856738188,43002.6685631127,1531.29913684623,2482.71209837492,42984.9887774389,92026337.1402961,0.563142058644246,0.8,0.201629580376445,0,8302,31007.58203125,0.0,424.5104741001513,970.1963220624992
762,high,-4.01530393350489e-27,2.3180102743936e-06,2.62409005951024e-08,6.03876151410559e-08,2.3180102743936e-06,0.0014510168393067,699,0,-6.30439781919615e-07,7.21642584490409e-07,9.9906991007817e-28,1.13940083271608e-08,1.35208236641002e-06,0,-9.71677144389018e-07,5.02476345443834e-07,2.12685149095318e-26,1.81566384171105e-08,1.47415348983285e-06,0,-5.76920888114804e-07,9.77397182983133e-07,-2.5101869457191295e-26,2.70921269924359e-08,1.55431807109794e-06,0,0.0,3.02564965303226e-06,3.6047664161544e-08,8.8298037683965e-08,3.02564965303226e-06,3.9760082132559106e-15,0.0379555128626626,0.4,0.500437866285516,699,8313,182.0278997421265,0.0,1.6235077131127391,4.167390994890789
858,med,95.7781753540039,339.496673583984,242.501360584464,49.374359103168,243.71849822998,13409355.2348785,0,0,-25.1382556190582,32.7957629315016,3.55691094665528e-19,0.662753697237424,57.9340185505599,0,-40.8155415934024,28.9889785469398,1.51557698447718e-18,0.963003742012623,69.8045201403421,0,-27.2697023759272,23.2437899125395,-2.1010809114596097e-18,1.56222024662564,50.5134922884667,0,0.0572534166153629,93.333735257326,6.05423242864237,6.23394537572344,93.2764818407106,3482.11720285987,0.475475426012875,1.3,0.105157240427839,0,8332,293.961853027344,0.0,1.7098750843697066,6.344291592310067
856,med,100.476875305176,341.078430175781,242.388618092984,47.2970983547066,240.601554870605,13403121.0260696,0,0,-17.6531756030917,31.8834845187011,2.4984334784938e-19,0.668803233463314,49.5366601217928,0,-39.6876184342094,28.1861864730893,6.21674880808146e-19,1.08527737514199,67.8738049072987,0,-27.8085889994381,22.5896299613497,2.27864411447662e-18,1.63334841214581,50.3982189607878,0,0.045083690052702,71.2339362704702,6.22339414530638,6.48737634784147,71.1888525804175,3632.38659947892,0.557215991343679,1.1,0.10098402995194,0,8328,304.136985778809,0.0,1.719901794665286,6.647030357142435
888,med,170.536468505859,308.049224853516,273.527781552187,26.0811604459552,137.512756347656,15124992.2087097,0,0,-18.3581017423933,17.1527933984268,3.44052234538441e-19,0.522506918234434,35.5108951408201,0,-21.3383401870385,15.1577699458328,2.15205435425592e-20,0.857264045473079,36.4961101328713,0,-17.2572626086439,12.1684674942092,1.8386889273546097e-18,1.28541293258483,29.4257301028532,0,0.0985113850587953,82.9885884959373,4.13163050334903,4.72056134101195,82.8900771108785,1239.45865952821,0.657641622127922,1.0,0.0492100603968418,0,143,180.0,0.0,0.2625891714099211,4.147630063467195
722,high,1.1796181046531e-15,2.3936428306115e-07,9.03030640556426e-10,4.4576973858988615e-09,2.39364281881532e-07,4.99339823002082e-05,0,0,-3.75544063647114e-08,6.79728730423451e-08,6.19970467473717e-28,8.17935130358355e-10,1.05527279407057e-07,0,-7.65728514600459e-08,6.28086651444603e-08,9.7109702816689e-28,1.14267215900392e-09,1.39381516604506e-07,0,-6.31141353826985e-08,5.52221090161282e-08,-1.21016441918349e-27,1.4335359197124e-09,1.18336244398827e-07,0,5.38641197052701e-16,4.94933544193776e-07,8.50042420743484e-10,6.596184589106011e-09,4.94933543655135e-07,3.03533780781276e-17,0.234848677189506,0.4,0.946262392556469,0,8314,179.99999408742724,0.0,0.3108631401376967,4.144251031504977
769,high,-7.91662470770194e-26,1.28114675135294e-06,2.73715207144493e-08,5.72532136537782e-08,1.28114675135294e-06,0.0015135356094261,532,0,-1.49005950979185e-07,2.55039606035857e-07,-2.0307758586219493e-28,6.889863505360011e-09,4.04045557015042e-07,0,-2.62526406367865e-07,4.00692761468256e-07,7.690448501470159e-27,1.37480374984805e-08,6.63219167836121e-07,0,-2.67010450634705e-07,4.86994265082372e-07,2.59024165058628e-26,2.11357619226059e-08,7.54004715717077e-07,0,0.0,1.32426288961263e-06,3.65098714267931e-08,7.10856680373392e-08,1.32426288961263e-06,3.3417217707155504e-15,0.0369439322307901,0.5,0.500437866285516,532,8305,182.4775676727295,0.0,1.6455924013153345,4.193259660128587
750,high,0.0,0.248361080884933,0.0138047626908016,0.0154920481303147,0.248361080884933,763.348157750565,6,0,-0.0470241077458282,0.0403030610602511,6.508858297327269e-22,0.0012906214938343,0.0873271688060792,0,-0.0829684425292402,0.066469633673138,-7.90383453982874e-22,0.0022783909439045,0.149438076202378,0,-0.0396903750450733,0.050689633262621,-3.07503531070117e-21,0.0034281813915891,0.0903800083076942,0,3.37922284210065e-08,0.360669785405194,0.007522521505332,0.0114211625248045,0.360669751612966,0.0002828710395129,0.0677627666000553,1.0,0.519287718948429,6,8254,651.957153320312,0.0,16.93256301804546,24.61822084430032
781,high,7.082521949173981e-23,1.53978454986436e-10,2.4182927827622e-12,8.42559821056537e-12,1.53978454986366e-10,1.33721917715619e-07,0,0,-3.8187772031022096e-11,3.88180805812717e-11,7.63083216190551e-31,1.45395850411532e-12,7.70058526122938e-11,0,-5.65253553409494e-11,8.042478540340059e-11,-8.54011871517392e-31,2.09540822189729e-12,1.3695014074435e-10,0,-4.8028383015377687e-11,5.085182351769949e-11,5.45192909720332e-30,2.62004144112565e-12,9.888020653307719e-11,0,1.06120678540053e-23,3.21070661629264e-10,3.49798204577204e-12,1.12071551358498e-11,3.21070661629254e-10,7.44754921340982e-23,0.0556186557685552,0.0,0.909610844669659,0,8332,179.99999999999912,0.0,0.2347797928739849,4.15375144953672
