Unnamed: 0,tri_min,tri_max,tri_mean,tri_sd,tri_range
1,6.651844445699559e-11,0.0054145670419089,1.63201505354597e-05,0.0001123910597656,0.0054145669753905
2,4.9702974510884e-11,0.0071855827115441,1.92501613278196e-05,0.0001301491656914,0.0071855826618411
3,1.7748139363270598e-11,0.0089047156712196,2.55400236898909e-05,0.0001669762939259,0.0089047156534715
4,2.49780146695416e-11,0.0072500954322526,3.74303775853034e-05,0.0002093873193082,0.0072500954072746
5,3.7667587176610797e-11,0.0131486804999749,3.3304487668596e-05,0.0002290426416637,0.0131486804623073
6,4.2208452649453795e-11,0.0257767043490604,4.82799069662909e-05,0.0003773578175333,0.0257767043068519
7,2.6054390565442298e-11,0.0143154408853295,3.8906724434858e-05,0.0002806364785612,0.0143154408592751
8,5.97933077340377e-11,0.0130039010725842,3.48254357667292e-05,0.0002516762334157,0.0130039010127909
9,5.56254978028854e-11,0.0118999718302795,2.79368377083063e-05,0.0001965672279328,0.011899971774654
10,7.640277843577029e-11,0.0090121374621182,1.83291757378492e-05,0.0001314219275334,0.0090121373857154
11,4.23722385608752e-07,0.662829035392621,0.0839043703811235,0.0527938628499839,0.662828611670236
12,3.0733774093938104e-09,0.603688012321703,0.0862387583826105,0.0571117095787551,0.603688009248325
13,8.28276692955463e-07,0.688313009748309,0.0850591108428898,0.0532291790176545,0.688312181471616
14,0.0047173872353881,0.571741051845461,0.0875385355359395,0.0547635980995377,0.567023664610073
15,0.0030990611814998,0.570000167630597,0.08783256425775,0.0547274406746253,0.566901106449097
16,0.0,0.500310866072399,0.0852750812107404,0.0520736588472645,0.500310866072399
17,0.0,0.530433788264052,0.0831573433893296,0.0545370611827725,0.530433788264052
18,0.0,0.626610818517907,0.0817786283807544,0.0559633545295168,0.626610818517907
19,4.9247689197035e-07,0.560822543213379,0.0835237603958739,0.0568275371751274,0.560822050736487
20,0.001960748908883,0.67237387169571,0.0829225018678873,0.0560001480858942,0.670413122786827
21,0.0,56517.5647778164,1917.92758047365,4133.30048894407,56517.5647778164
22,0.0,56517.5647778164,1917.92758047365,4133.30048894407,56517.5647778164
23,0.0,56517.5647778164,1917.92758047365,4133.30048894407,56517.5647778164
24,0.0,56517.5647778164,1917.92758047365,4133.30048894407,56517.5647778164
25,0.0,56517.5647778164,1917.92758047365,4133.30048894407,56517.5647778164
26,0.0,56517.5647778164,1917.92758047365,4133.30048894407,56517.5647778164
27,0.0,56517.5647778164,1917.92758047365,4133.30048894407,56517.5647778164
28,0.0,56517.5647778164,1917.92758047365,4133.30048894407,56517.5647778164
29,0.0,56517.5647778164,1917.92758047365,4133.30048894407,56517.5647778164
30,0.0,56517.5647778164,1917.92758047365,4133.30048894407,56517.5647778164
31,6.943475004484019e-16,3.61144993544123e-08,2.59586289531413e-10,1.38236849599591e-09,3.61144986600648e-08
32,9.28846562006561e-16,8.08758730349149e-08,2.51080706036628e-10,1.6721107861510801e-09,8.08758721060683e-08
33,1.3828596682032802e-15,7.71508410886644e-08,2.61988987241262e-10,1.7175426398409402e-09,7.71508397058048e-08
34,1.6424302325254902e-15,3.58726172082911e-08,2.0954493542433202e-10,9.7199109374435e-10,3.58726155658609e-08
35,6.985404220223701e-16,4.86390642679581e-08,2.46579288062998e-10,1.0905988412315102e-09,4.86390635694176e-08
36,3.8314120893012197e-16,5.63335278399265e-08,2.4589766284157103e-10,1.24236959290588e-09,5.63335274567852e-08
37,2.92208859215044e-16,4.26068420556468e-08,2.89405129792408e-10,1.1747816171296501e-09,4.26068417634379e-08
38,1.3387505325626202e-15,1.37086649193692e-07,4.0206405626931e-10,1.9965681048055303e-09,1.37086647854942e-07
39,1.0398325181645502e-15,2.35778717450886e-07,3.9322701084380603e-10,2.9467335718708404e-09,2.35778716411054e-07
40,8.58971295773721e-16,2.0480761356959e-07,3.25648446149318e-10,2.9041564584507e-09,2.04807612710618e-07
41,0.0,3.80765991064996e-07,9.69271618712813e-09,1.99654282286113e-08,3.80765991064996e-07
42,0.0,3.39660224066556e-07,9.565423339177551e-09,1.79965981600896e-08,3.39660224066556e-07
43,0.0,3.55093267787616e-07,9.26653317444105e-09,1.68252302652646e-08,3.55093267787616e-07
44,0.0,3.60698532037226e-07,9.805652712241261e-09,1.75274839830467e-08,3.60698532037226e-07
45,0.0,5.13927156244418e-07,1.07813076226871e-08,1.99481608828189e-08,5.13927156244418e-07
46,0.0,5.42349500065738e-07,1.00646821127832e-08,1.93388043738369e-08,5.42349500065738e-07
47,0.0,3.14750818194467e-07,1.04593115371159e-08,1.96668273460297e-08,3.14750818194467e-07
48,0.0,3.03182031121055e-07,9.87088388514676e-09,1.97186954183098e-08,3.03182031121055e-07
49,0.0,3.73300547061046e-07,9.6085282374131e-09,1.85870156113744e-08,3.73300547061046e-07
50,0.0,2.58060166844801e-07,9.31804730189729e-09,1.74658093052355e-08,2.58060166844801e-07
51,0.0,3.3944043277825e-07,3.4639034180634e-09,1.08391393784169e-08,3.3944043277825e-07
52,0.0,2.47668350694957e-07,3.220183621409e-09,8.66294251565355e-09,2.47668350694957e-07
53,0.0,2.66158816914108e-07,3.3720351075228002e-09,8.530519937908651e-09,2.66158816914108e-07
54,8.39918632123554e-29,6.42137007341476e-07,3.33176274324936e-09,8.85463050259489e-09,6.42137007341476e-07
55,0.0,3.82971875916567e-07,3.0425664242040602e-09,7.50983020521377e-09,3.82971875916567e-07
56,0.0,2.54273892029197e-07,2.44475395327972e-09,6.09546651158468e-09,2.54273892029197e-07
