,num_peaks
641,8286
642,8304
643,8281
644,8283
645,8283
646,8288
647,8294
648,8304
649,8304
650,8300
651,8304
652,8298
653,8305
654,8305
655,8299
656,8298
657,8298
658,8297
659,8300
660,8303
661,8315
662,8294
663,8313
664,8313
665,8294
666,8291
667,8297
668,8296
669,8293
670,8304
671,8315
672,8308
673,8316
674,8315
675,8290
676,8289
677,8295
678,8287
679,8292
680,8320
681,8291
682,8297
683,8293
684,8295
685,8293
686,8293
687,8295
688,8298
689,8293
690,8293
691,8312
692,8314
693,8317
694,8320
695,8327
696,8333
697,8338
698,8337
699,8338
700,8331
701,8295
702,8296
703,8295
704,8299
705,8304
706,8300
707,8300
708,8299
709,8297
710,8295
711,8306
712,8330
713,8301
714,8295
715,8324
716,8328
717,8325
718,8320
719,8314
720,8325
721,8302
722,8314
723,8296
724,8300
725,8304
726,8303
727,8302
728,8308
729,8316
730,8316
731,8337
732,8337
733,8337
734,8337
735,8337
736,8337
737,8337
738,8337
739,8337
740,8337
741,8258
742,8338
743,8338
744,8338
745,8262
746,8256
747,8338
748,8338
749,8266
750,8254
751,8293
752,8296
753,8284
754,8278
755,8286
756,8287
757,8284
758,8303
759,8309
760,8308
761,8301
762,8313
763,8300
764,8303
765,8306
766,8314
767,8313
768,8316
769,8305
770,8315
771,8308
772,8313
773,8310
774,8320
775,8310
776,8318
777,8296
778,8305
779,8310
780,8304
781,8332
782,8337
783,8335
784,8333
785,8333
786,8336
787,8337
788,8337
789,8337
790,8337
791,8331
792,8337
793,8331
794,8329
795,8329
796,8333
797,8331
798,8335
799,8337
800,8337
801,8290
802,8292
803,8298
804,8298
805,8301
806,8315
807,8302
808,8304
809,8304
810,8295
811,8304
812,8316
813,8295
814,8300
815,8314
816,8324
817,8324
818,8328
819,8327
820,8318
821,8297
822,8304
823,8303
824,8305
825,8303
826,8301
827,8313
828,8303
829,8299
830,8297
831,8337
832,8330
833,8337
834,8337
835,8333
836,8337
837,8337
838,8328
839,8333
840,8321
841,8295
842,8276
843,8297
844,8290
845,8292
846,8284
847,8285
848,8285
849,8285
850,8280
851,8309
852,8312
853,8302
854,8310
855,8321
856,8328
857,8318
858,8332
859,8325
860,8320
861,8322
862,8304
863,8299
864,8316
865,8313
866,8314
867,8312
868,8329
869,8307
870,8314
871,8310
872,8298
873,8299
874,8301
875,8292
876,8286
877,8291
878,8286
879,8289
880,8298
881,143
882,143
883,143
884,143
885,143
886,143
887,143
888,143
889,143
890,143
891,8316
892,8303
893,8319
894,8312
895,8305
896,8304
897,8306
898,8302
899,8306
900,8304
901,8294
902,8294
903,8291
904,8307
905,8297
906,8302
907,8297
908,8293
909,8293
910,8299
911,8295
912,8290
913,8296
914,8296
915,8293
916,8294
917,8295
918,8290
919,8292
920,8292
921,8291
922,8296
923,8292
924,8296
925,8292
926,8302
927,8298
928,8300
929,8295
930,8294
931,8298
932,8302
933,8290
934,8288
935,8290
936,8291
937,8295
938,8293
939,8293
940,8293
941,8314
942,8314
943,8317
944,8315
945,8289
946,8289
947,8307
948,8288
949,8314
950,8307
951,8295
952,8293
953,8298
954,8299
955,8296
956,8296
957,8296
958,8295
959,8294
960,8295
961,8297
962,8285
963,8298
964,8286
965,8318
966,8304
967,8314
968,8304
969,8307
970,8276
971,8294
972,8297
973,8298
974,8296
975,8292
976,8294
977,8297
978,8296
979,8291
980,8294
